cod;nome;período;valor
1076;BRA;1989;4491
1076;BRA;1990;4845
1076;BRA;1991;5186
1076;BRA;1992;5268
1076;BRA;1993;5555
1076;BRA;1994;5932
1076;BRA;1995;6594
1076;BRA;1996;6743
1076;BRA;1997;6923
1076;BRA;1998;6989
1076;BRA;1999;6530
1076;BRA;2000;6780
1076;BRA;2001;7738
1076;BRA;2002;7726
1076;BRA;2003;7861
1076;BRA;2004;8017
1076;BRA;2005;8550
1076;BRA;2006;8639
1076;BRA;2007;8868
1076;BRA;2008;9328
1076;BRA;2009;9374
1076;BRA;2010;9448
1076;BRA;2011;9852
1076;BRA;2012;10321
1076;BRA;2013;10533
1076;BRA;2014;10653
1076;BRA;2015;11178
1076;BRA;2016;11433
1076;BRA;2017;12495
1076;BRA;2018;12733
1076;BRA;2019;13520
