cod;nome;período;valor
1100023;Ariquemes;2000;5
1100031;Cabixi;2000;0
1100049;Cacoal;2000;9
1100056;Cerejeiras;2000;0
1100064;"Colorado do Oeste";2000;0
1100072;Corumbiara;2000;0
1100080;"Costa Marques";2000;1
1100098;"Espigão D'Oeste";2000;1
1100106;Guajará-Mirim;2000;1
1100114;Jaru;2000;2
1100122;Ji-Paraná;2000;4
1100130;"Machadinho D'Oeste";2000;0
1100148;"Nova Brasilândia D'Oeste";2000;1
1100155;"Ouro Preto do Oeste";2000;2
1100189;"Pimenta Bueno";2000;1
1100205;"Porto Velho";2000;11
1100254;"Presidente Médici";2000;0
1100262;"Rio Crespo";2000;0
1100288;"Rolim de Moura";2000;5
1100296;"Santa Luzia D'Oeste";2000;0
1100304;Vilhena;2000;6
1100320;"São Miguel do Guaporé";2000;1
1100338;"Nova Mamoré";2000;0
1100346;"Alvorada D'Oeste";2000;1
1100379;"Alto Alegre dos Parecis";2000;0
1100403;"Alto Paraíso";2000;2
1100452;Buritis;2000;4
1100502;"Novo Horizonte do Oeste";2000;0
1100601;Cacaulândia;2000;0
1100700;"Campo Novo de Rondônia";2000;0
1100809;"Candeias do Jamari";2000;0
1100908;Castanheiras;2000;1
1100924;Chupinguaia;2000;0
1100940;Cujubim;2000;1
1101005;"Governador Jorge Teixeira";2000;0
1101104;"Itapuã do Oeste";2000;0
1101203;"Ministro Andreazza";2000;1
1101302;"Mirante da Serra";2000;0
1101401;"Monte Negro";2000;0
1101435;"Nova União";2000;0
1101450;Parecis;2000;0
1101468;"Pimenteiras do Oeste";2000;0
1101476;"Primavera de Rondônia";2000;0
1101484;"São Felipe D'Oeste";2000;0
1101492;"São Francisco do Guaporé";2000;1
1101500;Seringueiras;2000;0
1101559;Teixeirópolis;2000;0
1101609;Theobroma;2000;0
1101708;Urupá;2000;0
1101757;"Vale do Anari";2000;0
1101807;"Vale do Paraíso";2000;0
1200013;Acrelândia;2000;0
1200054;"Assis Brasil";2000;0
1200104;Brasiléia;2000;0
1200138;Bujari;2000;0
1200179;Capixaba;2000;0
1200203;"Cruzeiro do Sul";2000;0
1200252;Epitaciolândia;2000;0
1200302;Feijó;2000;1
1200328;Jordão;2000;0
1200336;"Mâncio Lima";2000;0
1200344;"Manoel Urbano";2000;0
1200351;"Marechal Thaumaturgo";2000;0
1200385;"Plácido de Castro";2000;0
1200393;"Porto Walter";2000;0
1200401;"Rio Branco";2000;12
1200427;"Rodrigues Alves";2000;0
1200435;"Santa Rosa do Purus";2000;0
1200450;"Senador Guiomard";2000;0
1200500;"Sena Madureira";2000;2
1200609;Tarauacá;2000;0
1200708;Xapuri;2000;0
1200807;"Porto Acre";2000;0
1300029;Alvarães;2000;1
1300060;Amaturá;2000;0
1300086;Anamã;2000;0
1300102;Anori;2000;0
1300144;Apuí;2000;1
1300201;"Atalaia do Norte";2000;0
1300300;Autazes;2000;0
1300409;Barcelos;2000;0
1300508;Barreirinha;2000;0
1300607;"Benjamin Constant";2000;0
1300631;Beruri;2000;0
1300680;"Boa Vista do Ramos";2000;0
1300706;"Boca do Acre";2000;0
1300805;Borba;2000;0
1300839;Caapiranga;2000;0
1300904;Canutama;2000;0
1301001;Carauari;2000;0
1301100;Careiro;2000;1
1301159;"Careiro da Várzea";2000;0
1301209;Coari;2000;0
1301308;Codajás;2000;0
1301407;Eirunepé;2000;0
1301506;Envira;2000;0
1301605;"Fonte Boa";2000;0
1301654;Guajará;2000;0
1301704;Humaitá;2000;1
1301803;Ipixuna;2000;0
1301852;Iranduba;2000;0
1301902;Itacoatiara;2000;0
1301951;Itamarati;2000;0
1302009;Itapiranga;2000;0
1302108;Japurá;2000;0
1302207;Juruá;2000;0
1302306;Jutaí;2000;0
1302405;Lábrea;2000;0
1302504;Manacapuru;2000;1
1302553;Manaquiri;2000;0
1302603;Manaus;2000;51
1302702;Manicoré;2000;0
1302801;Maraã;2000;0
1302900;Maués;2000;0
1303007;Nhamundá;2000;0
1303106;"Nova Olinda do Norte";2000;1
1303205;"Novo Airão";2000;0
1303304;"Novo Aripuanã";2000;0
1303403;Parintins;2000;0
1303502;Pauini;2000;1
1303536;"Presidente Figueiredo";2000;0
1303569;"Rio Preto da Eva";2000;0
1303601;"Santa Isabel do Rio Negro";2000;0
1303700;"Santo Antônio do Içá";2000;0
1303809;"São Gabriel da Cachoeira";2000;0
1303908;"São Paulo de Olivença";2000;0
1303957;"São Sebastião do Uatumã";2000;0
1304005;Silves;2000;0
1304062;Tabatinga;2000;0
1304104;Tapauá;2000;0
1304203;Tefé;2000;1
1304237;Tonantins;2000;0
1304260;Uarini;2000;1
1304302;Urucará;2000;0
1304401;Urucurituba;2000;0
1400027;Amajari;2000;0
1400050;"Alto Alegre";2000;1
1400100;"Boa Vista";2000;13
1400159;Bonfim;2000;1
1400175;Cantá;2000;0
1400209;Caracaraí;2000;1
1400233;Caroebe;2000;0
1400282;Iracema;2000;0
1400308;Mucajaí;2000;0
1400407;Normandia;2000;0
1400456;Pacaraima;2000;1
1400472;Rorainópolis;2000;0
1400506;"São João da Baliza";2000;0
1400605;"São Luiz";2000;1
1400704;Uiramutã;2000;0
1500107;Abaetetuba;2000;0
1500131;"Abel Figueiredo";2000;0
1500206;Acará;2000;0
1500305;Afuá;2000;0
1500347;"Água Azul do Norte";2000;0
1500404;Alenquer;2000;0
1500503;Almeirim;2000;0
1500602;Altamira;2000;2
1500701;Anajás;2000;0
1500800;Ananindeua;2000;3
1500859;Anapu;2000;0
1500909;"Augusto Corrêa";2000;0
1500958;"Aurora do Pará";2000;0
1501006;Aveiro;2000;0
1501105;Bagre;2000;0
1501204;Baião;2000;0
1501253;Bannach;2000;0
1501303;Barcarena;2000;0
1501402;Belém;2000;37
1501451;Belterra;2000;0
1501501;Benevides;2000;1
1501576;"Bom Jesus do Tocantins";2000;0
1501600;Bonito;2000;0
1501709;Bragança;2000;0
1501725;"Brasil Novo";2000;0
1501758;"Brejo Grande do Araguaia";2000;0
1501782;"Breu Branco";2000;0
1501808;Breves;2000;5
1501907;Bujaru;2000;0
1501956;"Cachoeira do Piriá";2000;0
1502004;"Cachoeira do Arari";2000;0
1502103;Cametá;2000;0
1502152;"Canaã dos Carajás";2000;0
1502202;Capanema;2000;0
1502301;"Capitão Poço";2000;0
1502400;Castanhal;2000;3
1502509;Chaves;2000;0
1502608;Colares;2000;0
1502707;"Conceição do Araguaia";2000;0
1502756;"Concórdia do Pará";2000;0
1502764;"Cumaru do Norte";2000;0
1502772;Curionópolis;2000;3
1502806;Curralinho;2000;0
1502855;Curuá;2000;0
1502905;Curuçá;2000;0
1502939;"Dom Eliseu";2000;0
1502954;"Eldorado dos Carajás";2000;1
1503002;Faro;2000;0
1503044;"Floresta do Araguaia";2000;0
1503077;"Garrafão do Norte";2000;0
1503093;"Goianésia do Pará";2000;1
1503101;Gurupá;2000;0
1503200;Igarapé-Açu;2000;1
1503309;Igarapé-Miri;2000;1
1503408;Inhangapi;2000;0
1503457;"Ipixuna do Pará";2000;0
1503507;Irituia;2000;0
1503606;Itaituba;2000;0
1503705;Itupiranga;2000;1
