cod;nome;período;valor
4;S;2000;1653
3;SE;2000;2014
2;NE;2000;872
1;N;2000;288
5;CO;2000;571
2;NE;2001;1132
3;SE;2001;2391
4;S;2001;1785
5;CO;2001;536
1;N;2001;333
2;NE;2002;1169
3;SE;2002;2313
4;S;2002;1653
5;CO;2002;608
1;N;2002;285
1;N;2003;343
3;SE;2003;2400
4;S;2003;1666
5;CO;2003;612
2;NE;2003;1235
5;CO;2004;583
4;S;2004;1724
2;NE;2004;1291
1;N;2004;352
3;SE;2004;2361
2;NE;2005;1472
1;N;2005;369
3;SE;2005;2521
4;S;2005;1796
5;CO;2005;586
5;CO;2006;601
1;N;2006;374
2;NE;2006;1556
3;SE;2006;2585
4;S;2006;1718
4;S;2007;1741
1;N;2007;439
2;NE;2007;1721
3;SE;2007;2505
5;CO;2007;589
4;S;2008;1785
1;N;2008;514
2;NE;2008;1721
3;SE;2008;2663
5;CO;2008;692
5;CO;2009;653
4;S;2009;1887
3;SE;2009;2804
2;NE;2009;1673
1;N;2009;483
5;CO;2010;627
1;N;2010;489
2;NE;2010;1651
3;SE;2010;2895
4;S;2010;1713
4;S;2011;1702
1;N;2011;533
2;NE;2011;1834
3;SE;2011;3050
5;CO;2011;643
4;S;2012;1845
1;N;2012;574
2;NE;2012;1848
3;SE;2012;3064
5;CO;2012;730
4;S;2013;1868
1;N;2013;613
2;NE;2013;2000
3;SE;2013;3082
5;CO;2013;746
5;CO;2014;749
1;N;2014;562
2;NE;2014;1903
3;SE;2014;3381
4;S;2014;1824
5;CO;2015;734
1;N;2015;704
2;NE;2015;2004
3;SE;2015;3370
4;S;2015;1968
4;S;2016;2075
1;N;2016;645
2;NE;2016;2177
3;SE;2016;3334
5;CO;2016;822
4;S;2017;2249
1;N;2017;692
2;NE;2017;2390
3;SE;2017;3634
5;CO;2017;861
4;S;2018;2293
1;N;2018;765
2;NE;2018;2401
3;SE;2018;3645
5;CO;2018;895
1;N;2019;827
4;S;2019;2513
3;SE;2019;3813
2;NE;2019;2465
5;CO;2019;981
