cod;nome;período;valor
27;AL;2000;53
13;AM;2000;60
16;AP;2000;13
29;BA;2000;158
23;CE;2000;214
53;DF;2000;65
32;ES;2000;91
52;GO;2000;261
21;MA;2000;50
31;MG;2000;491
33;RJ;2000;307
24;RN;2000;66
11;RO;2000;63
14;RR;2000;18
43;RS;2000;832
42;SC;2000;361
28;SE;2000;36
35;SP;2000;1125
17;TO;2000;32
50;MS;2000;133
51;MT;2000;112
15;PA;2000;87
25;PB;2000;33
26;PE;2000;209
22;PI;2000;53
41;PR;2000;460
12;AC;2000;15
32;ES;2001;97
21;MA;2001;88
31;MG;2001;633
50;MS;2001;106
51;MT;2001;103
15;PA;2001;95
25;PB;2001;29
26;PE;2001;203
22;PI;2001;87
41;PR;2001;540
33;RJ;2001;333
24;RN;2001;85
11;RO;2001;59
14;RR;2001;13
43;RS;2001;860
42;SC;2001;385
28;SE;2001;51
35;SP;2001;1328
17;TO;2001;38
12;AC;2001;26
27;AL;2001;83
13;AM;2001;76
16;AP;2001;26
29;BA;2001;193
23;CE;2001;313
53;DF;2001;67
52;GO;2001;260
35;SP;2002;1261
12;AC;2002;16
27;AL;2002;63
13;AM;2002;69
16;AP;2002;29
29;BA;2002;196
23;CE;2002;358
53;DF;2002;66
32;ES;2002;107
52;GO;2002;307
21;MA;2002;80
31;MG;2002;623
50;MS;2002;128
51;MT;2002;107
15;PA;2002;94
25;PB;2002;53
26;PE;2002;192
22;PI;2002;85
41;PR;2002;456
33;RJ;2002;322
24;RN;2002;82
11;RO;2002;26
14;RR;2002;15
43;RS;2002;842
42;SC;2002;355
28;SE;2002;60
17;TO;2002;36
17;TO;2003;55
12;AC;2003;21
27;AL;2003;55
13;AM;2003;79
16;AP;2003;29
29;BA;2003;233
23;CE;2003;329
53;DF;2003;68
32;ES;2003;118
52;GO;2003;269
21;MA;2003;56
31;MG;2003;767
50;MS;2003;137
51;MT;2003;138
15;PA;2003;101
25;PB;2003;65
26;PE;2003;219
22;PI;2003;106
41;PR;2003;489
33;RJ;2003;258
24;RN;2003;113
11;RO;2003;42
14;RR;2003;16
43;RS;2003;843
42;SC;2003;334
28;SE;2003;59
35;SP;2003;1257
17;TO;2004;42
12;AC;2004;18
27;AL;2004;73
13;AM;2004;83
16;AP;2004;34
29;BA;2004;200
23;CE;2004;370
53;DF;2004;71
32;ES;2004;116
52;GO;2004;246
21;MA;2004;69
31;MG;2004;711
50;MS;2004;146
51;MT;2004;120
15;PA;2004;101
25;PB;2004;73
26;PE;2004;223
22;PI;2004;119
41;PR;2004;522
33;RJ;2004;298
24;RN;2004;106
11;RO;2004;50
14;RR;2004;24
43;RS;2004;862
42;SC;2004;340
28;SE;2004;58
35;SP;2004;1236
15;PA;2005;123
12;AC;2005;17
27;AL;2005;55
13;AM;2005;77
16;AP;2005;29
29;BA;2005;280
23;CE;2005;436
53;DF;2005;66
32;ES;2005;128
52;GO;2005;264
21;MA;2005;93
31;MG;2005;779
50;MS;2005;141
51;MT;2005;115
25;PB;2005;86
26;PE;2005;221
22;PI;2005;106
41;PR;2005;525
33;RJ;2005;327
24;RN;2005;140
11;RO;2005;51
14;RR;2005;21
43;RS;2005;905
42;SC;2005;366
28;SE;2005;55
35;SP;2005;1287
17;TO;2005;51
50;MS;2006;160
12;AC;2006;22
27;AL;2006;76
13;AM;2006;79
16;AP;2006;18
29;BA;2006;333
23;CE;2006;397
53;DF;2006;72
32;ES;2006;112
52;GO;2006;238
21;MA;2006;122
31;MG;2006;812
51;MT;2006;131
15;PA;2006;121
25;PB;2006;95
26;PE;2006;211
22;PI;2006;145
41;PR;2006;468
33;RJ;2006;291
24;RN;2006;119
11;RO;2006;52
14;RR;2006;28
43;RS;2006;945
42;SC;2006;305
28;SE;2006;58
35;SP;2006;1370
17;TO;2006;54
28;SE;2007;71
12;AC;2007;30
27;AL;2007;92
13;AM;2007;113
16;AP;2007;23
29;BA;2007;359
23;CE;2007;421
53;DF;2007;79
32;ES;2007;104
52;GO;2007;246
21;MA;2007;133
31;MG;2007;812
35;SP;2007;1337
50;MS;2007;141
51;MT;2007;123
17;TO;2007;66
15;PA;2007;139
25;PB;2007;102
26;PE;2007;277
22;PI;2007;158
41;PR;2007;499
33;RJ;2007;252
24;RN;2007;108
11;RO;2007;32
14;RR;2007;36
43;RS;2007;880
42;SC;2007;362
28;SE;2008;81
17;TO;2008;68
35;SP;2008;1487
42;SC;2008;389
43;RS;2008;933
14;RR;2008;23
11;RO;2008;64
24;RN;2008;119
33;RJ;2008;241
41;PR;2008;463
22;PI;2008;153
26;PE;2008;258
25;PB;2008;117
15;PA;2008;185
51;MT;2008;149
50;MS;2008;154
31;MG;2008;824
21;MA;2008;140
52;GO;2008;302
32;ES;2008;111
53;DF;2008;87
23;CE;2008;431
29;BA;2008;334
16;AP;2008;27
13;AM;2008;119
27;AL;2008;88
12;AC;2008;28
17;TO;2009;68
35;SP;2009;1600
12;AC;2009;25
27;AL;2009;85
13;AM;2009;126
28;SE;2009;83
16;AP;2009;21
29;BA;2009;319
23;CE;2009;400
53;DF;2009;103
32;ES;2009;108
52;GO;2009;236
21;MA;2009;118
31;MG;2009;878
50;MS;2009;154
51;MT;2009;160
15;PA;2009;156
25;PB;2009;130
26;PE;2009;254
22;PI;2009;162
41;PR;2009;527
33;RJ;2009;218
24;RN;2009;122
42;SC;2009;435
11;RO;2009;61
14;RR;2009;26
43;RS;2009;925
42;SC;2010;411
12;AC;2010;32
27;AL;2010;63
13;AM;2010;128
16;AP;2010;24
29;BA;2010;339
23;CE;2010;387
