cod;nome;período;valor
5;CO;2000;9.57
1;N;2000;4.24
2;NE;2000;3.59
3;SE;2000;5.51
4;S;2000;13.11
4;S;2001;14
1;N;2001;4.8
2;NE;2001;4.61
3;SE;2001;6.46
5;CO;2001;8.81
4;S;2002;12.82
1;N;2002;4.02
2;NE;2002;4.7
3;SE;2002;6.18
5;CO;2002;9.8
4;S;2003;12.78
1;N;2003;4.73
2;NE;2003;4.91
3;SE;2003;6.34
5;CO;2003;9.68
2;NE;2004;5.08
1;N;2004;4.76
3;SE;2004;6.17
4;S;2004;13.09
5;CO;2004;9.05
5;CO;2005;8.94
1;N;2005;4.89
2;NE;2005;5.73
3;SE;2005;6.52
4;S;2005;13.5
4;S;2006;12.79
1;N;2006;4.86
2;NE;2006;6
3;SE;2006;6.61
5;CO;2006;9.01
4;S;2007;12.84
1;N;2007;5.6
2;NE;2007;6.57
3;SE;2007;6.35
5;CO;2007;8.68
3;SE;2008;6.68
1;N;2008;6.45
5;CO;2008;10.02
2;NE;2008;6.52
4;S;2008;13.05
5;CO;2009;9.3
4;S;2009;13.68
3;SE;2009;6.97
2;NE;2009;6.28
1;N;2009;5.96
5;CO;2010;8.79
1;N;2010;5.93
2;NE;2010;6.15
3;SE;2010;7.14
4;S;2010;12.31
4;S;2011;12.13
1;N;2011;6.37
2;NE;2011;6.78
3;SE;2011;7.45
5;CO;2011;8.87
4;S;2012;13.05
1;N;2012;6.75
2;NE;2012;6.79
3;SE;2012;7.43
5;CO;2012;9.91
4;S;2013;13.11
1;N;2013;7.11
2;NE;2013;7.3
3;SE;2013;7.41
5;CO;2013;9.98
5;CO;2014;9.88
1;N;2014;6.43
2;NE;2014;6.9
3;SE;2014;8.07
4;S;2014;12.71
5;CO;2015;9.54
1;N;2015;7.94
2;NE;2015;7.23
3;SE;2015;7.98
4;S;2015;13.61
4;S;2016;14.26
1;N;2016;7.19
2;NE;2016;7.81
3;SE;2016;7.84
5;CO;2016;10.54
4;S;2017;15.35
1;N;2017;7.62
2;NE;2017;8.53
3;SE;2017;8.49
5;CO;2017;10.9
4;S;2018;15.55
1;N;2018;8.32
2;NE;2018;8.53
3;SE;2018;8.46
5;CO;2018;11.19
1;N;2019;8.9
4;S;2019;16.93
3;SE;2019;8.79
2;NE;2019;8.71
5;CO;2019;12.11
