cod;nome;período;valor
5;CO;2000;8.15
1;N;2000;4.71
2;NE;2000;2.8
3;SE;2000;3.56
4;S;2000;8.01
4;S;2001;8.5
1;N;2001;5.52
2;NE;2001;3.57
3;SE;2001;4.59
5;CO;2001;7.55
4;S;2002;7.68
1;N;2002;4.73
2;NE;2002;3.82
3;SE;2002;4.57
5;CO;2002;7.61
4;S;2003;7.93
1;N;2003;4.79
2;NE;2003;4.16
3;SE;2003;4.55
5;CO;2003;7.73
2;NE;2004;3.72
1;N;2004;5.14
3;SE;2004;4.36
4;S;2004;8.34
5;CO;2004;8.07
5;CO;2005;7.36
1;N;2005;4.8
2;NE;2005;4.14
3;SE;2005;4.16
4;S;2005;8.5
4;S;2006;7.59
1;N;2006;4.61
2;NE;2006;4.4
3;SE;2006;4.67
5;CO;2006;6.84
4;S;2007;7.47
1;N;2007;5.6
2;NE;2007;4.9
3;SE;2007;4.37
5;CO;2007;6.97
3;SE;2008;4.46
1;N;2008;6.66
5;CO;2008;7.78
2;NE;2008;4.64
4;S;2008;8.29
5;CO;2009;7.1
4;S;2009;7.48
3;SE;2009;4.71
2;NE;2009;4.42
1;N;2009;6.02
5;CO;2010;6.74
1;N;2010;5.82
2;NE;2010;4.7
3;SE;2010;4.97
4;S;2010;6.99
4;S;2011;6.77
1;N;2011;6.26
2;NE;2011;5.1
3;SE;2011;5.38
5;CO;2011;6.56
4;S;2012;7.08
1;N;2012;6.6
2;NE;2012;4.68
3;SE;2012;5.11
5;CO;2012;7.47
4;S;2013;6.87
1;N;2013;7.11
2;NE;2013;4.8
3;SE;2013;4.86
5;CO;2013;7.61
5;CO;2014;7.56
1;N;2014;6.82
2;NE;2014;4.66
3;SE;2014;4.89
4;S;2014;7.79
5;CO;2015;7.25
1;N;2015;7.75
2;NE;2015;4.81
3;SE;2015;5.19
4;S;2015;6.82
4;S;2016;6.96
1;N;2016;6.92
2;NE;2016;5.2
3;SE;2016;4.98
5;CO;2016;8.21
4;S;2017;8.66
1;N;2017;7.45
2;NE;2017;5.59
3;SE;2017;5.44
5;CO;2017;8.61
4;S;2018;8.6
1;N;2018;9.17
2;NE;2018;5.52
3;SE;2018;5.58
5;CO;2018;9.43
1;N;2019;9.18
4;S;2019;10.6
3;SE;2019;6.64
2;NE;2019;6.14
5;CO;2019;10.08
