cod;nome;período;valor
2;NE;2000;1.06
5;CO;2000;2.66
3;SE;2000;1.33
4;S;2000;2.98
1;N;2000;1.3
5;CO;2001;2.59
2;NE;2001;1.21
1;N;2001;1.6
3;SE;2001;1.63
4;S;2001;2.91
3;SE;2002;1.65
1;N;2002;1.59
2;NE;2002;1.47
4;S;2002;3.01
5;CO;2002;2.99
1;N;2003;1.35
2;NE;2003;1.5
3;SE;2003;1.56
4;S;2003;2.77
5;CO;2003;2.4
1;N;2004;1.34
2;NE;2004;1.39
3;SE;2004;1.58
4;S;2004;3.19
5;CO;2004;3.14
3;SE;2005;1.73
1;N;2005;1.48
2;NE;2005;1.61
4;S;2005;2.96
5;CO;2005;2.83
2;NE;2006;1.52
3;SE;2006;1.79
1;N;2006;1.41
4;S;2006;3.02
5;CO;2006;2.45
1;N;2007;1.37
2;NE;2007;1.66
3;SE;2007;1.77
4;S;2007;3.22
5;CO;2007;2.31
3;SE;2008;1.8
1;N;2008;1.38
2;NE;2008;1.77
4;S;2008;3.3
5;CO;2008;2.39
1;N;2009;1.41
2;NE;2009;1.56
3;SE;2009;1.84
4;S;2009;2.79
5;CO;2009;2.53
2;NE;2010;1.71
1;N;2010;1.7
5;CO;2010;2.59
4;S;2010;3.11
3;SE;2010;2.01
1;N;2011;1.96
5;CO;2011;2.25
4;S;2011;3.17
3;SE;2011;2.01
2;NE;2011;1.66
1;N;2012;1.46
2;NE;2012;1.73
3;SE;2012;2.2
4;S;2012;3.55
5;CO;2012;2.73
1;N;2013;1.75
2;NE;2013;1.74
3;SE;2013;2.04
4;S;2013;3.42
5;CO;2013;2.79
1;N;2014;1.71
2;NE;2014;1.71
3;SE;2014;2.09
4;S;2014;3.38
5;CO;2014;2.63
1;N;2015;2.03
2;NE;2015;1.86
3;SE;2015;2.19
4;S;2015;3.56
5;CO;2015;2.66
1;N;2016;2.07
2;NE;2016;1.87
3;SE;2016;2.08
4;S;2016;3.54
5;CO;2016;2.7
1;N;2017;2.28
2;NE;2017;2.02
3;SE;2017;2.27
4;S;2017;4.08
5;CO;2017;3.25
1;N;2018;2.52
2;NE;2018;2.02
3;SE;2018;2.31
4;S;2018;3.96
5;CO;2018;3.52
1;N;2019;2.54
2;NE;2019;2.08
3;SE;2019;2.5
4;S;2019;4.3
5;CO;2019;3.68
