cod;nome;período;valor
4314308;Pejuçara;2000;0
4314407;Pelotas;2000;4.25
4314423;"Picada Café";2000;0
4314456;Pinhal;2000;0
4314464;"Pinhal da Serra";2000;0
4314472;"Pinhal Grande";2000;0
4314498;"Pinheirinho do Vale";2000;0
4314506;"Pinheiro Machado";2000;21.51
1502764;"Cumaru do Norte";2000;0
1502756;"Concórdia do Pará";2000;0
1502707;"Conceição do Araguaia";2000;2.24
1502608;Colares;2000;0
1502509;Chaves;2000;0
1502400;Castanhal;2000;2.89
1502301;"Capitão Poço";2000;0
1502202;Capanema;2000;0
1502152;"Canaã dos Carajás";2000;0
1300631;Beruri;2000;0
1300680;"Boa Vista do Ramos";2000;0
1300706;"Boca do Acre";2000;0
1300805;Borba;2000;0
1300839;Caapiranga;2000;0
1300904;Canutama;2000;0
1301001;Carauari;2000;0
4314548;"Pinto Bandeira";2000;0
4314555;Pirapó;2000;58.65
4314605;Piratini;2000;15.18
4314704;Planalto;2000;17.38
4314753;"Poço das Antas";2000;0
4314779;Pontão;2000;0
4314787;"Ponte Preta";2000;0
4314803;Portão;2000;7.97
4314902;"Porto Alegre";2000;7
4315008;"Porto Lucena";2000;30.7
4315057;"Porto Mauá";2000;0
4315073;"Porto Vera Cruz";2000;0
4315107;"Porto Xavier";2000;0
4315131;"Pouso Novo";2000;44.74
4315149;"Presidente Lucena";2000;47.46
4315156;Progresso;2000;0
4315172;"Protásio Alves";2000;0
4315206;Putinga;2000;42.5
4315305;Quaraí;2000;8.18
4315313;"Quatro Irmãos";2000;0
4315321;Quevedos;2000;0
4315354;"Quinze de Novembro";2000;27.41
4315404;Redentora;2000;22.2
4315453;Relvado;2000;0
4315503;"Restinga Seca";2000;11.98
4315552;"Rio dos Índios";2000;20.89
4315602;"Rio Grande";2000;9.48
4315701;"Rio Pardo";2000;15.59
4315750;Riozinho;2000;48.24
4315800;"Roca Sales";2000;21.17
4315909;"Rodeio Bonito";2000;34.15
4315958;Rolador;2000;0
4316006;Rolante;2000;11
4316105;"Ronda Alta";2000;19.54
4316204;Rondinha;2000;16.08
4316303;"Roque Gonzales";2000;25.18
4316402;"Rosário do Sul";2000;9.57
4316428;"Sagrada Família";2000;0
4316436;"Saldanha Marinho";2000;0
4316451;"Salto do Jacuí";2000;17.03
4316477;"Salvador das Missões";2000;0
4316501;"Salvador do Sul";2000;68.74
4316600;Sananduva;2000;0
4316709;"Santa Bárbara do Sul";2000;19.61
4316733;"Santa Cecília do Sul";2000;0
4316758;"Santa Clara do Sul";2000;20.43
4316808;"Santa Cruz do Sul";2000;14.6
4316907;"Santa Maria";2000;4.43
4316956;"Santa Maria do Herval";2000;16.67
4316972;"Santa Margarida do Sul";2000;0
4317004;"Santana da Boa Vista";2000;22.78
4317103;"Sant' Ana do Livramento";2000;7.57
4317202;"Santa Rosa";2000;4.53
4317251;"Santa Tereza";2000;55.56
4317301;"Santa Vitória do Palmar";2000;8.85
4317400;Santiago;2000;16.84
4317509;"Santo Ângelo";2000;12.8
4317558;"Santo Antônio do Palma";2000;0
4317608;"Santo Antônio da Patrulha";2000;7.95
4317707;"Santo Antônio das Missões";2000;7.74
4317756;"Santo Antônio do Planalto";2000;49.07
4317806;"Santo Augusto";2000;6.81
4317905;"Santo Cristo";2000;13.19
4317954;"Santo Expedito do Sul";2000;36.6
4318002;"São Borja";2000;7.57
4318051;"São Domingos do Sul";2000;0
4318101;"São Francisco de Assis";2000;18.88
4318200;"São Francisco de Paula";2000;24.89
4318309;"São Gabriel";2000;18.93
4318408;"São Jerônimo";2000;14.53
4318424;"São João da Urtiga";2000;19.92
4318432;"São João do Polêsine";2000;0
4318440;"São Jorge";2000;68.31
4318457;"São José das Missões";2000;0
4318465;"São José do Herval";2000;0
4318481;"São José do Hortêncio";2000;28.99
4318499;"São José do Inhacorá";2000;0
4318507;"São José do Norte";2000;4.13
4318606;"São José do Ouro";2000;0
4318614;"São José do Sul";2000;0
4318622;"São José dos Ausentes";2000;31.64
4318705;"São Leopoldo";2000;8.63
4318804;"São Lourenço do Sul";2000;8.99
4318903;"São Luiz Gonzaga";2000;12.41
4319000;"São Marcos";2000;5.18
4319109;"São Martinho";2000;31.07
4319125;"São Martinho da Serra";2000;30.26
4319158;"São Miguel das Missões";2000;0
4319208;"São Nicolau";2000;0
4319307;"São Paulo das Missões";2000;0
4319356;"São Pedro da Serra";2000;0
4319364;"São Pedro das Missões";2000;0
4319372;"São Pedro do Butiá";2000;0
4319406;"São Pedro do Sul";2000;5.78
4319505;"São Sebastião do Caí";2000;19.94
4319604;"São Sepé";2000;7.98
4319703;"São Valentim";2000;0
4319711;"São Valentim do Sul";2000;0
4319737;"São Valério do Sul";2000;0
4319752;"São Vendelino";2000;0
4319802;"São Vicente do Sul";2000;23.56
4319901;Sapiranga;2000;7.1
4320008;"Sapucaia do Sul";2000;12
4320107;Sarandi;2000;5.41
4320206;Seberi;2000;8.65
4320230;"Sede Nova";2000;0
4320263;Segredo;2000;0
4320305;Selbach;2000;20.2
4320321;"Senador Salgado Filho";2000;33.55
4320354;"Sentinela do Sul";2000;0
4320404;"Serafina Corrêa";2000;18.03
4320453;Sério;2000;36.28
4320503;Sertão;2000;13.15
4320552;"Sertão Santana";2000;0
4320578;"Sete de Setembro";2000;83.33
4320602;"Severiano de Almeida";2000;0
4320651;"Silveira Martins";2000;0
4320677;Sinimbu;2000;9.62
4320701;Sobradinho;2000;12.03
4320800;Soledade;2000;13.21
4320859;Tabaí;2000;0
4320909;Tapejara;2000;6.93
4321006;Tapera;2000;0
4321105;Tapes;2000;0
4321204;Taquara;2000;16.73
4321303;Taquari;2000;3.79
4321329;"Taquaruçu do Sul";2000;0
4321352;Tavares;2000;0
4321402;"Tenente Portela";2000;20.54
4321436;"Terra de Areia";2000;0
4321451;Teutônia;2000;18.58
4321469;"Tio Hugo";2000;0
4321477;"Tiradentes do Sul";2000;39.3
4321493;Toropi;2000;30.72
1301100;Careiro;2000;7.09
1301159;"Careiro da Várzea";2000;0
1301209;Coari;2000;0
1301308;Codajás;2000;0
1301407;Eirunepé;2000;0
1301506;Envira;2000;0
1301605;"Fonte Boa";2000;0
1301654;Guajará;2000;0
1301704;Humaitá;2000;2.98
1301803;Ipixuna;2000;0
1301852;Iranduba;2000;0
1301902;Itacoatiara;2000;0
1301951;Itamarati;2000;0
1302009;Itapiranga;2000;0
1302108;Japurá;2000;0
1302207;Juruá;2000;0
1302306;Jutaí;2000;0
1302405;Lábrea;2000;3.38
1302504;Manacapuru;2000;1.33
1302553;Manaquiri;2000;0
1302603;Manaus;2000;4.38
1302702;Manicoré;2000;0
1302801;Maraã;2000;0
1302900;Maués;2000;0
1303007;Nhamundá;2000;0
1303106;"Nova Olinda do Norte";2000;4.12
1303205;"Novo Airão";2000;0
1303304;"Novo Aripuanã";2000;0
1303403;Parintins;2000;0
1303502;Pauini;2000;11.44
1303536;"Presidente Figueiredo";2000;5.62
1303569;"Rio Preto da Eva";2000;0
1303601;"Santa Isabel do Rio Negro";2000;0
1303700;"Santo Antônio do Içá";2000;3.46
1303809;"São Gabriel da Cachoeira";2000;0
1303908;"São Paulo de Olivença";2000;0
1303957;"São Sebastião do Uatumã";2000;0
1304005;Silves;2000;0
1304062;Tabatinga;2000;0
1304104;Tapauá;2000;0
1304203;Tefé;2000;1.52
1304237;Tonantins;2000;0
