cod;nome;período;valor
1076;BRA;1980;3.27
1076;BRA;1981;3.35
1076;BRA;1982;3.16
1076;BRA;1983;3.62
1076;BRA;1984;3.43
1076;BRA;1985;3.23
1076;BRA;1986;3.21
1076;BRA;1987;3.43
1076;BRA;1988;3.22
1076;BRA;1989;3.16
1076;BRA;1990;3.36
1076;BRA;1991;3.53
1076;BRA;1992;3.52
1076;BRA;1993;3.66
1076;BRA;1994;3.85
1076;BRA;1995;4.23
1076;BRA;1996;4.27
1076;BRA;1997;4.33
1076;BRA;1998;4.31
1076;BRA;1999;3.98
1076;BRA;2000;4.08
1076;BRA;2001;4.48
1076;BRA;2002;4.42
1076;BRA;2003;4.44
1076;BRA;2004;4.41
1076;BRA;2005;4.64
1076;BRA;2006;4.62
1076;BRA;2007;4.81
1076;BRA;2008;4.91
1076;BRA;2009;4.89
1076;BRA;2010;4.95
1076;BRA;2011;5.12
1076;BRA;2012;5.32
1076;BRA;2013;5.23
1076;BRA;2014;5.25
1076;BRA;2015;5.46
1076;BRA;2016;5.54
1076;BRA;2017;6.01
1076;BRA;2018;6.1
1076;BRA;2019;6.43
