cod;nome;período;valor
5;CO;1980;2.94
1;N;1980;2.19
2;NE;1980;1.26
4;S;1980;6.08
3;SE;1980;3.76
5;CO;1981;3.32
1;N;1981;1.74
2;NE;1981;1.44
4;S;1981;6.26
3;SE;1981;3.78
5;CO;1982;3.32
1;N;1982;1.7
2;NE;1982;1.42
4;S;1982;6.27
3;SE;1982;3.37
5;CO;1983;3.46
1;N;1983;2.09
2;NE;1983;1.37
4;S;1983;7.5
3;SE;1983;3.97
5;CO;1984;3.41
1;N;1984;1.66
2;NE;1984;1.28
4;S;1984;7.33
3;SE;1984;3.73
5;CO;1985;3.42
1;N;1985;1.67
2;NE;1985;1.27
4;S;1985;6.88
3;SE;1985;3.43
5;CO;1986;3.28
1;N;1986;1.79
2;NE;1986;1.23
4;S;1986;6.81
3;SE;1986;3.45
5;CO;1987;4.3
1;N;1987;2.19
2;NE;1987;1.34
4;S;1987;6.52
3;SE;1987;3.8
5;CO;1988;4
1;N;1988;2.11
2;NE;1988;1.38
4;S;1988;6.74
3;SE;1988;3.27
5;CO;1989;3.9
1;N;1989;2.33
2;NE;1989;1.31
4;S;1989;6.54
3;SE;1989;3.24
5;CO;1990;3.31
1;N;1990;2.02
2;NE;1990;1.54
4;S;1990;6.82
3;SE;1990;3.58
5;CO;1991;4.2
1;N;1991;2.46
2;NE;1991;1.79
4;S;1991;7.21
3;SE;1991;3.47
5;CO;1992;4.41
1;N;1992;2.4
2;NE;1992;1.69
4;S;1992;7.19
3;SE;1992;3.55
5;CO;1993;4.92
1;N;1993;2.4
2;NE;1993;1.93
4;S;1993;6.66
3;SE;1993;3.8
5;CO;1994;5.04
1;N;1994;2.22
2;NE;1994;2.08
4;S;1994;7.28
3;SE;1994;3.95
5;CO;1995;6.17
1;N;1995;2.41
2;NE;1995;2.25
4;S;1995;8.2
3;SE;1995;4.19
5;CO;1996;5.71
1;N;1996;3.01
2;NE;1996;2.33
4;S;1996;8.24
3;SE;1996;4.2
5;CO;1997;5.55
1;N;1997;2.64
2;NE;1997;2.36
4;S;1997;8.42
3;SE;1997;4.31
5;CO;1998;4.86
1;N;1998;3.42
2;NE;1998;2.3
4;S;1998;8.9
3;SE;1998;4.12
5;CO;1999;5.43
1;N;1999;2.38
2;NE;1999;2.36
4;S;1999;8.48
3;SE;1999;3.52
5;CO;2000;6.25
1;N;2000;2.88
2;NE;2000;2.37
4;S;2000;8.1
3;SE;2000;3.47
5;CO;2001;5.82
1;N;2001;3.31
2;NE;2001;2.96
4;S;2001;8.49
3;SE;2001;4.09
5;CO;2002;6.54
1;N;2002;2.91
2;NE;2002;3.16
4;S;2002;7.95
3;SE;2002;3.95
5;CO;2003;6.19
1;N;2003;3.17
2;NE;2003;3.28
4;S;2003;7.81
3;SE;2003;3.98
5;CO;2004;6.13
1;N;2004;3.1
2;NE;2004;3.27
4;S;2004;8.07
3;SE;2004;3.85
5;CO;2005;5.92
1;N;2005;3.23
2;NE;2005;3.71
4;S;2005;8.14
3;SE;2005;4.09
5;CO;2006;5.75
1;N;2006;3.18
2;NE;2006;3.79
4;S;2006;7.8
3;SE;2006;4.15
5;CO;2007;5.64
1;N;2007;3.7
2;NE;2007;4.2
4;S;2007;8.17
3;SE;2007;4.14
5;CO;2008;6.25
1;N;2008;4.09
2;NE;2008;4.14
4;S;2008;8.16
3;SE;2008;4.24
5;CO;2009;5.98
1;N;2009;3.85
2;NE;2009;3.92
4;S;2009;8.22
3;SE;2009;4.41
5;CO;2010;5.77
1;N;2010;3.93
2;NE;2010;3.99
4;S;2010;7.86
3;SE;2010;4.64
5;CO;2011;5.66
1;N;2011;4.29
2;NE;2011;4.29
4;S;2011;7.82
3;SE;2011;4.81
5;CO;2012;6.46
1;N;2012;4.24
2;NE;2012;4.33
4;S;2012;8.49
3;SE;2012;4.9
5;CO;2013;6.37
1;N;2013;4.46
2;NE;2013;4.46
4;S;2013;8.21
3;SE;2013;4.68
5;CO;2014;6.24
1;N;2014;4.1
2;NE;2014;4.25
4;S;2014;7.99
3;SE;2014;5.03
5;CO;2015;6.08
1;N;2015;5.03
2;NE;2015;4.49
4;S;2015;8.53
3;SE;2015;5.04
5;CO;2016;6.6
1;N;2016;4.65
2;NE;2016;4.78
4;S;2016;8.83
3;SE;2016;4.92
5;CO;2017;7.06
1;N;2017;4.99
2;NE;2017;5.2
4;S;2017;9.65
3;SE;2017;5.33
5;CO;2018;7.33
1;N;2018;5.45
2;NE;2018;5.27
4;S;2018;9.71
3;SE;2018;5.32
5;CO;2019;7.87
1;N;2019;5.74
2;NE;2019;5.4
4;S;2019;10.5
3;SE;2019;5.57
