cod;nome;período;valor
11;RO;1980;4.07
12;AC;1980;1.65
13;AM;1980;2.16
14;RR;1980;5.05
15;PA;1980;1.99
16;AP;1980;0.57
17;TO;1980;0
21;MA;1980;0.45
22;PI;1980;0.79
23;CE;1980;1.43
24;RN;1980;2.05
25;PB;1980;2.02
26;PE;1980;1.59
27;AL;1980;2.16
28;SE;1980;1.05
29;BA;1980;0.86
31;MG;1980;3.45
32;ES;1980;2.76
33;RJ;1980;2.47
35;SP;1980;4.58
41;PR;1980;4.86
42;SC;1980;3.99
43;RS;1980;8.25
50;MS;1980;5.69
51;MT;1980;0.52
52;GO;1980;3.21
53;DF;1980;1.18
11;RO;1981;3.88
12;AC;1981;1.28
13;AM;1981;1.14
14;RR;1981;3.33
15;PA;1981;2.01
16;AP;1981;2.17
17;TO;1981;0
21;MA;1981;0.44
22;PI;1981;0.64
23;CE;1981;1.93
24;RN;1981;2.06
25;PB;1981;2.85
26;PE;1981;1.88
27;AL;1981;2.37
28;SE;1981;1.45
29;BA;1981;0.74
31;MG;1981;3.94
32;ES;1981;3.14
33;RJ;1981;1.77
35;SP;1981;4.65
41;PR;1981;5.17
42;SC;1981;4.65
43;RS;1981;8.08
50;MS;1981;3.78
51;MT;1981;1.07
52;GO;1981;4.29
53;DF;1981;2.47
11;RO;1982;2.49
12;AC;1982;2.17
13;AM;1982;1.55
14;RR;1982;1.94
15;PA;1982;1.88
16;AP;1982;3.07
17;TO;1982;0
21;MA;1982;0.26
22;PI;1982;1.44
23;CE;1982;1.68
24;RN;1982;2.61
25;PB;1982;2.49
26;PE;1982;1.44
27;AL;1982;1.49
28;SE;1982;1.49
29;BA;1982;1.19
31;MG;1982;3.02
32;ES;1982;2.16
33;RJ;1982;1.67
35;SP;1982;4.4
41;PR;1982;5.31
42;SC;1982;4.67
43;RS;1982;7.95
50;MS;1982;4.09
51;MT;1982;0.61
52;GO;1982;4.21
53;DF;1982;2.88
11;RO;1983;3.77
12;AC;1983;0.6
13;AM;1983;2.29
14;RR;1983;0.86
15;PA;1983;2.14
16;AP;1983;5.34
17;TO;1983;0
21;MA;1983;0.63
22;PI;1983;1.19
23;CE;1983;1.66
24;RN;1983;2.6
25;PB;1983;1.97
26;PE;1983;1.67
27;AL;1983;2.3
28;SE;1983;1.37
29;BA;1983;0.74
31;MG;1983;3.44
32;ES;1983;2.48
33;RJ;1983;2.41
35;SP;1983;5.05
41;PR;1983;5.74
42;SC;1983;6.38
43;RS;1983;9.74
50;MS;1983;3.98
51;MT;1983;1.45
52;GO;1983;4.67
53;DF;1983;1.86
11;RO;1984;4.29
12;AC;1984;2.03
13;AM;1984;1.49
14;RR;1984;3.1
15;PA;1984;1.38
16;AP;1984;4.15
17;TO;1984;0
21;MA;1984;0.6
22;PI;1984;0.82
23;CE;1984;1.33
24;RN;1984;2.06
25;PB;1984;2.01
26;PE;1984;1.63
27;AL;1984;1.65
28;SE;1984;0.94
29;BA;1984;1.01
31;MG;1984;3.33
32;ES;1984;2.1
33;RJ;1984;2.39
35;SP;1984;4.64
41;PR;1984;5.93
42;SC;1984;5.83
43;RS;1984;9.38
50;MS;1984;4.08
51;MT;1984;2.12
