cod;nome;período;valor
5;CO;2000;157
1;N;2000;84
2;NE;2000;261
3;SE;2000;499
4;S;2000;381
4;S;2001;377
1;N;2001;106
2;NE;2001;302
3;SE;2001;619
5;CO;2001;156
4;S;2002;394
1;N;2002;108
2;NE;2002;373
3;SE;2002;635
5;CO;2002;184
4;S;2003;367
1;N;2003;94
2;NE;2003;385
3;SE;2003;607
5;CO;2003;151
2;NE;2004;360
1;N;2004;95
3;SE;2004;623
4;S;2004;427
5;CO;2004;201
5;CO;2005;185
1;N;2005;107
2;NE;2005;423
3;SE;2005;690
4;S;2005;400
4;S;2006;413
1;N;2006;104
2;NE;2006;405
3;SE;2006;720
5;CO;2006;163
4;S;2007;444
1;N;2007;103
2;NE;2007;447
3;SE;2007;721
5;CO;2007;157
3;SE;2008;741
1;N;2008;106
5;CO;2008;165
2;NE;2008;481
4;S;2008;460
5;CO;2009;178
4;S;2009;392
3;SE;2009;764
2;NE;2009;428
1;N;2009;110
5;CO;2010;185
1;N;2010;135
2;NE;2010;472
3;SE;2010;840
4;S;2010;441
4;S;2011;454
1;N;2011;159
2;NE;2011;463
3;SE;2011;849
5;CO;2011;164
4;S;2012;512
1;N;2012;120
2;NE;2012;487
3;SE;2012;936
5;CO;2012;202
4;S;2013;497
1;N;2013;146
2;NE;2013;494
3;SE;2013;876
5;CO;2013;210
5;CO;2014;201
1;N;2014;145
2;NE;2014;490
3;SE;2014;902
4;S;2014;495
5;CO;2015;206
1;N;2015;175
2;NE;2015;536
3;SE;2015;953
4;S;2015;526
4;S;2016;527
1;N;2016;181
2;NE;2016;544
3;SE;2016;914
5;CO;2016;212
4;S;2017;612
1;N;2017;202
2;NE;2017;590
3;SE;2017;1001
5;CO;2017;259
4;S;2018;598
1;N;2018;226
2;NE;2018;594
3;SE;2018;1026
5;CO;2018;285
1;N;2019;231
4;S;2019;653
3;SE;2019;1117
2;NE;2019;616
5;CO;2019;302
