cod;nome;período;valor
24;RN;2000;19
52;GO;2000;66
32;ES;2000;15
53;DF;2000;21
23;CE;2000;55
29;BA;2000;44
16;AP;2000;3
13;AM;2000;17
27;AL;2000;19
12;AC;2000;12
11;RO;2000;13
14;RR;2000;4
43;RS;2000;190
42;SC;2000;65
28;SE;2000;12
35;SP;2000;288
17;TO;2000;6
33;RJ;2000;85
41;PR;2000;126
22;PI;2000;21
26;PE;2000;66
25;PB;2000;4
15;PA;2000;29
51;MT;2000;30
50;MS;2000;40
31;MG;2000;111
21;MA;2000;21
12;AC;2001;3
27;AL;2001;13
13;AM;2001;18
16;AP;2001;4
29;BA;2001;48
23;CE;2001;63
53;DF;2001;12
32;ES;2001;19
52;GO;2001;71
17;TO;2001;9
35;SP;2001;309
28;SE;2001;18
42;SC;2001;78
43;RS;2001;175
14;RR;2001;4
11;RO;2001;17
24;RN;2001;31
33;RJ;2001;124
41;PR;2001;124
22;PI;2001;26
26;PE;2001;66
25;PB;2001;16
15;PA;2001;51
51;MT;2001;41
50;MS;2001;32
31;MG;2001;167
21;MA;2001;21
52;GO;2002;74
17;TO;2002;14
35;SP;2002;294
28;SE;2002;20
42;SC;2002;82
43;RS;2002;189
14;RR;2002;4
11;RO;2002;18
24;RN;2002;23
33;RJ;2002;140
41;PR;2002;123
22;PI;2002;34
26;PE;2002;65
25;PB;2002;20
15;PA;2002;46
51;MT;2002;46
50;MS;2002;40
31;MG;2002;180
21;MA;2002;45
32;ES;2002;21
53;DF;2002;24
23;CE;2002;101
29;BA;2002;44
16;AP;2002;8
13;AM;2002;12
27;AL;2002;21
12;AC;2002;6
12;AC;2003;5
11;RO;2003;11
14;RR;2003;4
43;RS;2003;192
42;SC;2003;71
28;SE;2003;22
35;SP;2003;296
17;TO;2003;17
32;ES;2003;32
52;GO;2003;59
21;MA;2003;34
31;MG;2003;180
50;MS;2003;50
51;MT;2003;24
15;PA;2003;36
25;PB;2003;15
26;PE;2003;78
22;PI;2003;33
41;PR;2003;104
33;RJ;2003;99
24;RN;2003;35
27;AL;2003;13
13;AM;2003;13
16;AP;2003;8
29;BA;2003;65
23;CE;2003;90
53;DF;2003;18
29;BA;2004;59
24;RN;2004;9
11;RO;2004;13
14;RR;2004;3
43;RS;2004;189
42;SC;2004;82
28;SE;2004;22
35;SP;2004;294
17;TO;2004;17
12;AC;2004;8
27;AL;2004;21
13;AM;2004;15
16;AP;2004;4
23;CE;2004;89
53;DF;2004;28
32;ES;2004;35
52;GO;2004;88
21;MA;2004;30
31;MG;2004;195
50;MS;2004;46
51;MT;2004;39
15;PA;2004;35
25;PB;2004;20
26;PE;2004;70
22;PI;2004;40
41;PR;2004;156
33;RJ;2004;99
52;GO;2005;72
32;ES;2005;38
53;DF;2005;23
23;CE;2005;101
29;BA;2005;80
16;AP;2005;12
13;AM;2005;14
27;AL;2005;23
12;AC;2005;2
17;TO;2005;17
35;SP;2005;337
28;SE;2005;26
42;SC;2005;83
43;RS;2005;173
14;RR;2005;6
11;RO;2005;13
24;RN;2005;21
33;RJ;2005;100
41;PR;2005;144
22;PI;2005;42
26;PE;2005;88
25;PB;2005;19
15;PA;2005;43
51;MT;2005;37
50;MS;2005;53
31;MG;2005;215
21;MA;2005;23
21;MA;2006;37
32;ES;2006;45
53;DF;2006;36
23;CE;2006;96
29;BA;2006;55
16;AP;2006;7
13;AM;2006;21
27;AL;2006;19
12;AC;2006;3
17;TO;2006;18
35;SP;2006;352
28;SE;2006;18
42;SC;2006;79
43;RS;2006;208
14;RR;2006;6
11;RO;2006;10
24;RN;2006;26
33;RJ;2006;113
41;PR;2006;126
22;PI;2006;36
26;PE;2006;83
25;PB;2006;35
15;PA;2006;39
51;MT;2006;38
50;MS;2006;34
31;MG;2006;210
52;GO;2006;55
26;PE;2007;102
15;PA;2007;41
17;TO;2007;19
35;SP;2007;371
28;SE;2007;26
42;SC;2007;93
43;RS;2007;221
14;RR;2007;7
11;RO;2007;10
12;AC;2007;5
27;AL;2007;17
13;AM;2007;17
16;AP;2007;4
29;BA;2007;65
23;CE;2007;104
53;DF;2007;24
32;ES;2007;32
52;GO;2007;57
21;MA;2007;27
31;MG;2007;216
50;MS;2007;47
51;MT;2007;29
24;RN;2007;25
33;RJ;2007;102
41;PR;2007;130
22;PI;2007;50
25;PB;2007;31
12;AC;2008;5
17;TO;2008;16
35;SP;2008;377
28;SE;2008;27
42;SC;2008;99
43;RS;2008;228
14;RR;2008;8
11;RO;2008;12
24;RN;2008;28
33;RJ;2008;98
41;PR;2008;133
22;PI;2008;64
26;PE;2008;106
25;PB;2008;39
15;PA;2008;32
51;MT;2008;31
50;MS;2008;28
31;MG;2008;226
21;MA;2008;39
52;GO;2008;76
32;ES;2008;40
53;DF;2008;30
23;CE;2008;114
29;BA;2008;46
16;AP;2008;4
13;AM;2008;29
27;AL;2008;18
50;MS;2009;51
12;AC;2009;6
27;AL;2009;26
13;AM;2009;26
16;AP;2009;5
29;BA;2009;58
23;CE;2009;101
53;DF;2009;26
32;ES;2009;42
52;GO;2009;71
21;MA;2009;38
31;MG;2009;244
51;MT;2009;30
15;PA;2009;32
25;PB;2009;36
26;PE;2009;74
22;PI;2009;45
41;PR;2009;121
33;RJ;2009;102
24;RN;2009;22
11;RO;2009;24
14;RR;2009;6
43;RS;2009;187
42;SC;2009;84
28;SE;2009;28
35;SP;2009;376
17;TO;2009;11
35;SP;2010;407
12;AC;2010;9
27;AL;2010;22
13;AM;2010;34
16;AP;2010;6
29;BA;2010;93
23;CE;2010;101
53;DF;2010;37
32;ES;2010;39
52;GO;2010;68
21;MA;2010;38
31;MG;2010;241
17;TO;2010;19
50;MS;2010;40
51;MT;2010;40
15;PA;2010;37
25;PB;2010;20
26;PE;2010;81
22;PI;2010;51
41;PR;2010;117
33;RJ;2010;153
24;RN;2010;34
11;RO;2010;19
14;RR;2010;11
43;RS;2010;205
42;SC;2010;119
28;SE;2010;32
51;MT;2011;33
12;AC;2011;9
27;AL;2011;26
13;AM;2011;40
16;AP;2011;7
29;BA;2011;77
23;CE;2011;104
53;DF;2011;22
32;ES;2011;37
52;GO;2011;66
21;MA;2011;36
31;MG;2011;285
50;MS;2011;43
15;PA;2011;51
25;PB;2011;40
26;PE;2011;62
22;PI;2011;47
41;PR;2011;128
33;RJ;2011;105
24;RN;2011;34
11;RO;2011;24
14;RR;2011;9
43;RS;2011;211
42;SC;2011;115
28;SE;2011;37
35;SP;2011;422
17;TO;2011;19
52;GO;2012;85
12;AC;2012;7
27;AL;2012;27
13;AM;2012;28
16;AP;2012;5
29;BA;2012;94
23;CE;2012;91
53;DF;2012;38
17;TO;2012;23
35;SP;2012;487
28;SE;2012;23
42;SC;2012;132
43;RS;2012;241
32;ES;2012;47
14;RR;2012;10
11;RO;2012;13
24;RN;2012;40
33;RJ;2012;127
41;PR;2012;139
22;PI;2012;53
26;PE;2012;74
25;PB;2012;42
15;PA;2012;34
51;MT;2012;36
50;MS;2012;43
31;MG;2012;275
21;MA;2012;43
32;ES;2013;48
53;DF;2013;28
23;CE;2013;115
29;BA;2013;96
16;AP;2013;5
13;AM;2013;45
27;AL;2013;26
12;AC;2013;10
17;TO;2013;15
35;SP;2013;458
28;SE;2013;33
42;SC;2013;123
43;RS;2013;246
14;RR;2013;8
11;RO;2013;15
24;RN;2013;28
33;RJ;2013;116
41;PR;2013;128
22;PI;2013;48
26;PE;2013;61
25;PB;2013;42
15;PA;2013;48
51;MT;2013;40
50;MS;2013;51
31;MG;2013;254
21;MA;2013;45
52;GO;2013;91
16;AP;2014;4
12;AC;2014;6
27;AL;2014;35
13;AM;2014;47
29;BA;2014;80
23;CE;2014;108
53;DF;2014;32
32;ES;2014;52
52;GO;2014;95
21;MA;2014;46
31;MG;2014;279
50;MS;2014;44
51;MT;2014;30
15;PA;2014;41
25;PB;2014;28
26;PE;2014;81
22;PI;2014;57
41;PR;2014;113
33;RJ;2014;122
24;RN;2014;27
11;RO;2014;23
14;RR;2014;1
43;RS;2014;236
42;SC;2014;146
28;SE;2014;28
35;SP;2014;449
17;TO;2014;23
24;RN;2015;28
33;RJ;2015;120
41;PR;2015;154
22;PI;2015;62
26;PE;2015;78
25;PB;2015;57
15;PA;2015;55
51;MT;2015;23
50;MS;2015;49
31;MG;2015;296
21;MA;2015;59
52;GO;2015;96
32;ES;2015;54
53;DF;2015;38
23;CE;2015;123
29;BA;2015;84
16;AP;2015;12
13;AM;2015;50
27;AL;2015;24
12;AC;2015;6
17;TO;2015;17
35;SP;2015;483
28;SE;2015;21
42;SC;2015;139
43;RS;2015;233
14;RR;2015;12
11;RO;2015;23
51;MT;2016;36
11;RO;2016;23
14;RR;2016;18
43;RS;2016;243
42;SC;2016;159
28;SE;2016;25
35;SP;2016;439
17;TO;2016;19
24;RN;2016;35
31;MG;2016;287
21;MA;2016;64
52;GO;2016;99
32;ES;2016;50
53;DF;2016;34
23;CE;2016;104
29;BA;2016;100
16;AP;2016;5
13;AM;2016;39
27;AL;2016;25
12;AC;2016;13
33;RJ;2016;138
41;PR;2016;125
22;PI;2016;75
26;PE;2016;82
25;PB;2016;34
15;PA;2016;64
50;MS;2016;43
21;MA;2017;56
24;RN;2017;38
11;RO;2017;27
14;RR;2017;15
43;RS;2017;269
42;SC;2017;163
28;SE;2017;32
35;SP;2017;475
17;TO;2017;26
33;RJ;2017;161
41;PR;2017;180
22;PI;2017;56
26;PE;2017;109
25;PB;2017;53
15;PA;2017;69
51;MT;2017;54
50;MS;2017;59
31;MG;2017;318
52;GO;2017;104
32;ES;2017;47
53;DF;2017;42
23;CE;2017;110
29;BA;2017;107
16;AP;2017;8
13;AM;2017;40
27;AL;2017;29
12;AC;2017;17
17;TO;2018;25
