cod;nome;período;valor
5;CO;2000;288
1;N;2000;187
2;NE;2000;398
3;SE;2000;729
4;S;2000;540
4;S;2001;579
1;N;2001;225
2;NE;2001;517
3;SE;2001;947
5;CO;2001;271
4;S;2002;528
1;N;2002;197
2;NE;2002;563
3;SE;2002;950
5;CO;2002;277
4;S;2003;550
1;N;2003;204
2;NE;2003;623
3;SE;2003;951
5;CO;2003;285
2;NE;2004;564
1;N;2004;223
3;SE;2004;915
4;S;2004;583
5;CO;2004;301
5;CO;2005;278
1;N;2005;212
2;NE;2005;633
3;SE;2005;876
4;S;2005;598
4;S;2006;538
1;N;2006;207
2;NE;2006;677
3;SE;2006;985
5;CO;2006;261
4;S;2007;533
1;N;2007;256
2;NE;2007;756
3;SE;2007;923
5;CO;2007;269
3;SE;2008;942
1;N;2008;309
5;CO;2008;303
2;NE;2008;717
4;S;2008;594
5;CO;2009;279
4;S;2009;538
3;SE;2009;993
2;NE;2009;682
1;N;2009;283
5;CO;2010;267
1;N;2010;277
2;NE;2010;722
3;SE;2010;1045
4;S;2010;504
4;S;2011;488
1;N;2011;301
2;NE;2011;777
3;SE;2011;1126
5;CO;2011;262
4;S;2012;509
1;N;2012;320
2;NE;2012;707
3;SE;2012;1064
5;CO;2012;300
4;S;2013;492
1;N;2013;347
2;NE;2013;719
3;SE;2013;1007
5;CO;2013;307
5;CO;2014;306
1;N;2014;335
2;NE;2014;692
3;SE;2014;1010
4;S;2014;555
5;CO;2015;294
1;N;2015;383
2;NE;2015;709
3;SE;2015;1067
4;S;2015;483
4;S;2016;491
1;N;2016;345
2;NE;2016;762
3;SE;2016;1021
5;CO;2016;335
4;S;2017;609
1;N;2017;375
2;NE;2017;815
3;SE;2017;1111
5;CO;2017;353
4;S;2018;602
1;N;2018;466
2;NE;2018;802
3;SE;2018;1137
5;CO;2018;389
1;N;2019;470
4;S;2019;738
3;SE;2019;1349
2;NE;2019;888
5;CO;2019;417
