cod;nome;período;valor
25;PB;2000;10
26;PE;2000;96
22;PI;2000;26
41;PR;2000;202
33;RJ;2000;90
24;RN;2000;24
11;RO;2000;34
14;RR;2000;10
43;RS;2000;228
42;SC;2000;110
28;SE;2000;21
35;SP;2000;417
17;TO;2000;22
12;AC;2000;16
27;AL;2000;22
13;AM;2000;38
16;AP;2000;11
29;BA;2000;60
23;CE;2000;106
53;DF;2000;32
32;ES;2000;27
52;GO;2000;121
21;MA;2000;33
31;MG;2000;195
50;MS;2000;77
51;MT;2000;58
15;PA;2000;56
15;PA;2001;75
26;PE;2001;93
22;PI;2001;50
41;PR;2001;215
33;RJ;2001;130
24;RN;2001;32
11;RO;2001;34
14;RR;2001;10
43;RS;2001;247
42;SC;2001;117
28;SE;2001;18
35;SP;2001;512
17;TO;2001;17
12;AC;2001;14
27;AL;2001;43
13;AM;2001;54
16;AP;2001;21
29;BA;2001;83
23;CE;2001;128
53;DF;2001;37
32;ES;2001;45
52;GO;2001;112
21;MA;2001;54
31;MG;2001;260
50;MS;2001;63
51;MT;2001;59
25;PB;2001;16
15;PA;2002;73
17;TO;2002;17
35;SP;2002;504
28;SE;2002;22
42;SC;2002;114
43;RS;2002;231
14;RR;2002;12
11;RO;2002;20
24;RN;2002;37
33;RJ;2002;129
41;PR;2002;183
22;PI;2002;45
26;PE;2002;99
12;AC;2002;10
27;AL;2002;37
13;AM;2002;44
16;AP;2002;21
29;BA;2002;88
23;CE;2002;157
53;DF;2002;35
32;ES;2002;41
52;GO;2002;118
21;MA;2002;56
31;MG;2002;276
50;MS;2002;74
51;MT;2002;50
25;PB;2002;22
25;PB;2003;28
12;AC;2003;14
27;AL;2003;21
13;AM;2003;46
16;AP;2003;23
29;BA;2003;100
23;CE;2003;170
53;DF;2003;30
32;ES;2003;35
52;GO;2003;112
21;MA;2003;40
31;MG;2003;296
50;MS;2003;74
51;MT;2003;69
15;PA;2003;63
26;PE;2003;123
22;PI;2003;63
41;PR;2003;213
33;RJ;2003;98
24;RN;2003;43
11;RO;2003;26
14;RR;2003;7
43;RS;2003;237
42;SC;2003;100
28;SE;2003;35
35;SP;2003;522
17;TO;2003;25
25;PB;2004;19
17;TO;2004;24
35;SP;2004;472
28;SE;2004;23
42;SC;2004;104
43;RS;2004;241
14;RR;2004;16
11;RO;2004;26
24;RN;2004;31
33;RJ;2004;95
41;PR;2004;238
22;PI;2004;69
26;PE;2004;94
12;AC;2004;18
27;AL;2004;36
13;AM;2004;50
16;AP;2004;21
29;BA;2004;84
23;CE;2004;167
53;DF;2004;40
32;ES;2004;42
52;GO;2004;119
21;MA;2004;41
31;MG;2004;306
50;MS;2004;80
51;MT;2004;62
15;PA;2004;68
27;AL;2005;23
12;AC;2005;6
13;AM;2005;45
16;AP;2005;23
29;BA;2005;115
23;CE;2005;192
53;DF;2005;30
32;ES;2005;41
52;GO;2005;119
21;MA;2005;37
31;MG;2005;276
50;MS;2005;80
51;MT;2005;49
15;PA;2005;74
25;PB;2005;30
26;PE;2005;98
22;PI;2005;59
41;PR;2005;226
33;RJ;2005;96
24;RN;2005;47
11;RO;2005;28
14;RR;2005;14
43;RS;2005;260
42;SC;2005;112
28;SE;2005;32
35;SP;2005;463
17;TO;2005;22
22;PI;2006;53
41;PR;2006;193
33;RJ;2006;89
24;RN;2006;51
11;RO;2006;16
14;RR;2006;18
43;RS;2006;239
12;AC;2006;13
27;AL;2006;36
13;AM;2006;54
16;AP;2006;13
29;BA;2006;127
23;CE;2006;163
53;DF;2006;46
32;ES;2006;43
52;GO;2006;93
21;MA;2006;65
31;MG;2006;326
50;MS;2006;78
51;MT;2006;44
15;PA;2006;69
25;PB;2006;42
17;TO;2006;24
35;SP;2006;527
28;SE;2006;28
42;SC;2006;106
26;PE;2006;112
12;AC;2007;17
35;SP;2007;515
28;SE;2007;40
42;SC;2007;118
43;RS;2007;220
14;RR;2007;25
11;RO;2007;18
52;GO;2007;103
21;MA;2007;66
31;MG;2007;291
50;MS;2007;76
51;MT;2007;48
15;PA;2007;73
24;RN;2007;41
33;RJ;2007;80
41;PR;2007;195
22;PI;2007;75
26;PE;2007;119
25;PB;2007;46
32;ES;2007;37
17;TO;2007;31
53;DF;2007;42
23;CE;2007;182
